"Query","Count","Shape","Top Click","User Locations"
"parking","10377","N/A","http://about.curtin.edu.au/getting-here-and-parking.cfm/","Perth, Bentley, Unknown, Sydney, Adelaide, Melbourne"
"handbook","6182","N/A","http://handbook.curtin.edu.au/","Bentley, Perth, Unknown, Sydney, Daceyville, Adelaide"
"map","4424","N/A","http://properties.curtin.edu.au/maps/","Perth, Bentley, Unknown, Sydney, Adelaide, Eastwood"
"unit outline","3179","N/A","https://uob.curtin.edu.au/index.cfm","Perth, Unknown, Bentley, Sydney, Beijing, Singapore"
"timetable","3174","N/A","http://timetable.student.curtin.edu.au/jsp/criteriaEntry.jsf","Bentley, Perth, Unknown, Brisbane, Kuala Lumpur, Melbourne"
"fees","3088","N/A","http://fees.curtin.edu.au/","Unknown, Perth, Bentley, Sydney, Oberstaufen, Kuala Lumpur"
"cits","3019","N/A","http://cits.curtin.edu.au/","Bentley, Perth, Unknown, Melbourne, Adelaide, Warnbro"
"graduation","2767","N/A","http://graduations.curtin.edu.au/","Perth, Unknown, Bentley, Sydney, Kuala Lumpur, Central District"
"blackboard","2692","N/A","http://otl.curtin.edu.au/using_blackboard/","Perth, Unknown, Bentley, Sydney, Melbourne, Adelaide"
"nursing","2682","N/A","http://healthsciences.curtin.edu.au/teaching/nursing-midwifery_home.cfm","Perth, Unknown, Bentley, Sydney, London, Lane Cove"
"psychology","2506","N/A","http://courses.curtin.edu.au/course_overview/undergraduate/psychology","Perth, Unknown, Christchurch, Bentley, Sydney, Adelaide"
"physiotherapy","2219","N/A","http://healthsciences.curtin.edu.au/teaching/physiotherapy_home.cfm","Perth, Unknown, Bentley, Central District, Melbourne, Sydney"
"parking permits","2192","N/A","http://properties.curtin.edu.au/parking/permit_apply.cfm","Perth, Bentley, Unknown, Adelaide, Sydney, Melbourne"
"unit outlines","2121","N/A","https://uob.curtin.edu.au/index.cfm","Perth, Bentley, Unknown, Sydney, Manning, Melbourne"
"humanities","2105","N/A","http://humanities.curtin.edu.au/","Perth, Bentley, Unknown, Sydney, Concord, Ourimbah"
"guild","2027","N/A","http://www.guild.curtin.edu.au/index.php/en/","Perth, Bentley, Unknown, Eastwood, Adelaide, Melbourne"
"unit outline builder","1987","N/A","http://otl.curtin.edu.au/course_quality/unit_outline_builder/unit_outline_builder.cfm","Bentley, Perth, Unknown, Sydney, Adelaide, Brisbane"
"engineering","1953","N/A","http://scieng.curtin.edu.au/","Perth, Unknown, Bentley, Adelaide, Colombo, Sydney"
